ToxPrint_ID,ToxPrint_chemotype_name (original),Level 1,Level 2,Level 3,Level 4,Level 5,Level 2 full,Level 3 full,Level 4 full,Level 5 full
529,group:aminoAcid_lysine,group,aminoAcid,lysine,,,group:aminoAcid,group:aminoAcid_lysine,group:aminoAcid_lysine,group:aminoAcid_lysine
530,group:aminoAcid_methionine,group,aminoAcid,methionine,,,group:aminoAcid,group:aminoAcid_methionine,group:aminoAcid_methionine,group:aminoAcid_methionine
531,group:aminoAcid_phenylalanine,group,aminoAcid,phenylalanine,,,group:aminoAcid,group:aminoAcid_phenylalanine,group:aminoAcid_phenylalanine,group:aminoAcid_phenylalanine
532,group:aminoAcid_proline,group,aminoAcid,proline,,,group:aminoAcid,group:aminoAcid_proline,group:aminoAcid_proline,group:aminoAcid_proline
533,group:aminoAcid_serine,group,aminoAcid,serine,,,group:aminoAcid,group:aminoAcid_serine,group:aminoAcid_serine,group:aminoAcid_serine
534,group:aminoAcid_threonine,group,aminoAcid,threonine,,,group:aminoAcid,group:aminoAcid_threonine,group:aminoAcid_threonine,group:aminoAcid_threonine
535,group:aminoAcid_tryptophan,group,aminoAcid,tryptophan,,,group:aminoAcid,group:aminoAcid_tryptophan,group:aminoAcid_tryptophan,group:aminoAcid_tryptophan
536,group:aminoAcid_tyrosine,group,aminoAcid,tyrosine,,,group:aminoAcid,group:aminoAcid_tyrosine,group:aminoAcid_tyrosine,group:aminoAcid_tyrosine
537,group:aminoAcid_valine,group,aminoAcid,valine,,,group:aminoAcid,group:aminoAcid_valine,group:aminoAcid_valine,group:aminoAcid_valine
538,group:carbohydrate_aldohexose,group,carbohydrate,aldohexose,,,group:carbohydrate,group:carbohydrate_aldohexose,group:carbohydrate_aldohexose,group:carbohydrate_aldohexose
539,group:carbohydrate_aldopentose,group,carbohydrate,aldopentose,,,group:carbohydrate,group:carbohydrate_aldopentose,group:carbohydrate_aldopentose,group:carbohydrate_aldopentose
540,group:carbohydrate_hexofuranose_hexulose,group,carbohydrate,hexofuranose_hexulose,,,group:carbohydrate,group:carbohydrate_hexofuranose_hexulose,group:carbohydrate_hexofuranose_hexulose,group:carbohydrate_hexofuranose_hexulose
541,group:carbohydrate_hexofuranose,group,carbohydrate,hexofuranose,,,group:carbohydrate,group:carbohydrate_hexofuranose,group:carbohydrate_hexofuranose,group:carbohydrate_hexofuranose
542,group:carbohydrate_hexopyranose_2-deoxy,group,carbohydrate,hexopyranose_2-deoxy,,,group:carbohydrate,group:carbohydrate_hexopyranose_2-deoxy,group:carbohydrate_hexopyranose_2-deoxy,group:carbohydrate_hexopyranose_2-deoxy
543,group:carbohydrate_hexopyranose_fructose,group,carbohydrate,hexopyranose_fructose,,,group:carbohydrate,group:carbohydrate_hexopyranose_fructose,group:carbohydrate_hexopyranose_fructose,group:carbohydrate_hexopyranose_fructose
544,group:carbohydrate_hexopyranose_generic,group,carbohydrate,hexopyranose_generic,,,group:carbohydrate,group:carbohydrate_hexopyranose_generic,group:carbohydrate_hexopyranose_generic,group:carbohydrate_hexopyranose_generic
545,group:carbohydrate_hexopyranose_glucose,group,carbohydrate,hexopyranose_glucose,,,group:carbohydrate,group:carbohydrate_hexopyranose_glucose,group:carbohydrate_hexopyranose_glucose,group:carbohydrate_hexopyranose_glucose
546,group:carbohydrate_hexopyranose_maltose,group,carbohydrate,hexopyranose_maltose,,,group:carbohydrate,group:carbohydrate_hexopyranose_maltose,group:carbohydrate_hexopyranose_maltose,group:carbohydrate_hexopyranose_maltose
547,group:carbohydrate_inositol,group,carbohydrate,inositol,,,group:carbohydrate,group:carbohydrate_inositol,group:carbohydrate_inositol,group:carbohydrate_inositol
548,group:carbohydrate_ketohexose,group,carbohydrate,ketohexose,,,group:carbohydrate,group:carbohydrate_ketohexose,group:carbohydrate_ketohexose,group:carbohydrate_ketohexose
549,group:carbohydrate_ketopentose,group,carbohydrate,ketopentose,,,group:carbohydrate,group:carbohydrate_ketopentose,group:carbohydrate_ketopentose,group:carbohydrate_ketopentose
550,group:carbohydrate_pentofuranose_2-deoxy,group,carbohydrate,pentofuranose_2-deoxy,,,group:carbohydrate,group:carbohydrate_pentofuranose_2-deoxy,group:carbohydrate_pentofuranose_2-deoxy,group:carbohydrate_pentofuranose_2-deoxy
551,group:carbohydrate_pentofuranose,group,carbohydrate,pentofuranose,,,group:carbohydrate,group:carbohydrate_pentofuranose,group:carbohydrate_pentofuranose,group:carbohydrate_pentofuranose
552,group:carbohydrate_pentopyranose,group,carbohydrate,pentopyranose,,,group:carbohydrate,group:carbohydrate_pentopyranose,group:carbohydrate_pentopyranose,group:carbohydrate_pentopyranose
553,group:ligand_path_4_bidentate_aminoacetaldehyde,group,ligand_path,4_bidentate,aminoacetaldehyde,,group:ligand_path,group:ligand_path_4_bidentate,group:ligand_path_4_bidentate_aminoacetaldehyde,group:ligand_path_4_bidentate_aminoacetaldehyde
554,group:ligand_path_4_bidentate_aminoacetate,group,ligand_path,4_bidentate,aminoacetate,,group:ligand_path,group:ligand_path_4_bidentate,group:ligand_path_4_bidentate_aminoacetate,group:ligand_path_4_bidentate_aminoacetate
555,group:ligand_path_4_bidentate_aminoethanol,group,ligand_path,4_bidentate,aminoethanol,,group:ligand_path,group:ligand_path_4_bidentate,group:ligand_path_4_bidentate_aminoethanol,group:ligand_path_4_bidentate_aminoethanol
556,group:ligand_path_4_bidentate_bipyridyl,group,ligand_path,4_bidentate,bipyridyl,,group:ligand_path,group:ligand_path_4_bidentate,group:ligand_path_4_bidentate_bipyridyl,group:ligand_path_4_bidentate_bipyridyl
557,group:ligand_path_4_bidentate_ethylenediamine,group,ligand_path,4_bidentate,ethylenediamine,,group:ligand_path,group:ligand_path_4_bidentate,group:ligand_path_4_bidentate_ethylenediamine,group:ligand_path_4_bidentate_ethylenediamine
558,group:ligand_path_4_macrocycle_tetrazacyclododecane,group,ligand_path,4_macrocycle,tetrazacyclododecane,,group:ligand_path,group:ligand_path_4_macrocycle,group:ligand_path_4_macrocycle_tetrazacyclododecane,group:ligand_path_4_macrocycle_tetrazacyclododecane
559,group:ligand_path_4_macrocycle_triethylenetriamine,group,ligand_path,4_macrocycle,triethylenetriamine,,group:ligand_path,group:ligand_path_4_macrocycle,group:ligand_path_4_macrocycle_triethylenetriamine,group:ligand_path_4_macrocycle_triethylenetriamine
560,group:ligand_path_4_polydentate,group,ligand_path,4_polydentate,,,group:ligand_path,group:ligand_path_4_polydentate,group:ligand_path_4_polydentate,group:ligand_path_4_polydentate
